,SessionKey,timestamp,DriverNo,GapToLeader,IntervalToPositionAhead_Value,IntervalToPositionAhead_Catching,Line,Position,ShowPosition,RacingNumber,Retired,InPit,PitOut,Stopped,Status,BestLapTime_Value,LastLapTime_Value,LastLapTime_Status,LastLapTime_OverallFastest,LastLapTime_PersonalFastest,NumberOfLaps,BestLapTime_Lap,NumberOfPitStops
4361,9574,00:59:03.114,11,+1.466,+1.118,,,,,,,,,,,,,,,,,,
4419,9574,00:59:09.250,11,,,,,,,,,,,,,,,,,,,,
4421,9574,00:59:09.308,11,+1.435,+1.085,,,,,,,,,,,,,,,,,,
4454,9574,00:59:13.565,11,+1.421,+1.134,,,,,,,,,,,,,,,,,,
4455,9574,00:59:13.616,11,,,,,,,,,,,,,,,,,,,,
4477,9574,00:59:16.932,11,+1.404,+1.173,,,,,,,,,,,,,,,,,,
4479,9574,00:59:16.969,11,,,,,,,,,,,,,,,,,,,,
4500,9574,00:59:19.216,11,,,,,,,,,,,,,,,,,,,,
4501,9574,00:59:19.285,11,+1.371,+1.188,,,,,,,,,,,,,,,,,,
4538,9574,00:59:22.603,11,,,,,,,,,,,,,,,,,,,,
4539,9574,00:59:22.655,11,+1.320,+1.223,,,,,,,,,,,,,,,,,,
4574,9574,00:59:25.715,11,+1.267,+1.246,,,,,,,,,,,,,,,,,,
4575,9574,00:59:25.757,11,,,,,,,,,,,,,,,,,,,,
4621,9574,00:59:29.868,11,+1.371,+1.167,,,,,,,,,,,,,,,,,,
4628,9574,00:59:30.201,11,,,,,,,,,,,,,,,,,,,,
4632,9574,00:59:30.427,11,,,,,,,,,,,,,,,,,,,,
4661,9574,00:59:32.995,11,,,,,,,,,,,,,,,,,,,,
4674,9574,00:59:33.460,11,+1.486,+1.128,,,,,,,,,,,,,,,,,,
4675,9574,00:59:33.480,11,,,,,,,,,,,,,,,,,,,,
4717,9574,00:59:37.828,11,,,,,,,,,,,,,,,,,,,,
4718,9574,00:59:37.879,11,+1.409,+0.933,,,,,,,,,,,,,,,,,,
4763,9574,00:59:41.255,11,+1.424,+0.892,,,,,,,,,,,,,,,,,,
4764,9574,00:59:41.276,11,,,,,,,,,,,,,,,,,,,,
4799,9574,00:59:45.172,11,+1.376,+0.846,,,,,,,,,,,,,,,,,,
4800,9574,00:59:45.224,11,,,,,,,,,,,,,,,,,,,,
4841,9574,00:59:49.414,11,,,,,,,,,,,,,,,,,,,,
4842,9574,00:59:49.468,11,+1.464,+0.844,,,,,,,,,,,,,,,,,,
4876,9574,00:59:53.531,11,+1.595,+0.929,,,,,,,,,,,,,,,,,,
4877,9574,00:59:53.572,11,,,,,,,,,,,,,,,,,,,,
4913,9574,00:59:57.783,11,,,,,,,,,,,,,,,,,,,,
4914,9574,00:59:57.823,11,+1.582,+0.933,,,,,,,,,,,,,,,,,,
4947,9574,01:00:01.560,11,,,,,,,,,,,,,,,,,,,,
4948,9574,01:00:01.593,11,+1.538,+0.896,,,,,,,,,,,,,,,,,,
4979,9574,01:00:05.325,11,,,,,,,,,,,,,,,,,,,,
4980,9574,01:00:05.357,11,+1.508,+0.892,,,,,,,,,,,,,,,,,,
5019,9574,01:00:09.992,11,+1.570,+0.933,,,,,,,,,,,,,,,,,,
5020,9574,01:00:10.025,11,,,,,,,,,,,,,,,,,,,,
5059,9574,01:00:14.462,11,+1.690,+0.920,,,,,,,,,,,,,,,,,,
5060,9574,01:00:14.490,11,,,,,,,,,,,,,,,,,,,,
5089,9574,01:00:18.585,11,+1.804,+0.943,,,,,,,,,,,,,,,,,,
5094,9574,01:00:19.114,11,,,,,,,,,,,,,,,,,,,,
5095,9574,01:00:19.226,11,,,,,,,,,,,,,,,,,,,,
5136,9574,01:00:24.386,11,+1.791,+0.956,,,,,,,,,,,,,,,,,,
5137,9574,01:00:24.430,11,,,,,,,,,,,,,,,,,,,,
5164,9574,01:00:26.872,11,+1.771,+0.960,,,,,,,,,,,,,,,,,,
5165,9574,01:00:26.907,11,,,,,,,,,,,,,,,,,,,,
5200,9574,01:00:29.960,11,,,,,,,,,,,,,,,,,,,,
5201,9574,01:00:29.961,11,+1.739,+0.965,,,,,,,,,,,,,,,,,,
5244,9574,01:00:33.801,11,+1.673,+0.962,,,,,,,,,,,,,,,,,,
5245,9574,01:00:33.846,11,,,,,,,,,,,,,,,,,,,,
5282,9574,01:00:37.748,11,+1.629,+0.949,,,,,,,,,,,,,,,,,,
5283,9574,01:00:37.787,11,,,,,,,,,,,,,,,,,,,,
5330,9574,01:00:43.767,11,+1.819,+1.058,,,,,,,,,,,,,,,,,,
5331,9574,01:00:43.800,11,,,,,,,,,,,,,,,,,,,,
5371,9574,01:00:48.649,11,+2.004,+0.991,,,,,,,,,,,,,,,,,,
5372,9574,01:00:48.715,11,,,,,,,,,,,,,,,,,,,,
5373,9574,01:00:48.902,11,,,,,,,,,,,,,1:49.983,1:49.983,,,,3.0,3.0,
5379,9574,01:00:49.554,11,,,,,,,,,,,,,,,,,,,,
5414,9574,01:00:53.113,11,,,,,,,,,,,,,,,,,,,,
5473,9574,01:00:59.287,11,,,,,,,,,,,,,,,,,,,,
5474,9574,01:00:59.326,11,+2.077,+0.964,,,,,,,,,,,,,,,,,,
5508,9574,01:01:03.603,11,,,,,,,,,,,,,,,,,,,,
5509,9574,01:01:03.662,11,+2.067,+0.968,,,,,,,,,,,,,,,,,,
5532,9574,01:01:06.921,11,+2.047,+0.972,,,,,,,,,,,,,,,,,,
5534,9574,01:01:06.960,11,,,,,,,,,,,,,,,,,,,,
5558,9574,01:01:09.291,11,+2.017,+0.975,,,,,,,,,,,,,,,,,,
5592,9574,01:01:12.649,11,+1.963,+0.969,,,,,,,,,,,,,,,,,,
5594,9574,01:01:12.699,11,,,,,,,,,,,,,,,,,,,,
5626,9574,01:01:15.641,11,,,,,,,,,,,,,,,,,,,,
5627,9574,01:01:15.700,11,+1.870,+0.929,,,,,,,,,,,,,,,,,,
