,SessionKey,timestamp,DriverNo,GapToLeader,IntervalToPositionAhead_Value,IntervalToPositionAhead_Catching,Line,Position,ShowPosition,RacingNumber,Retired,InPit,PitOut,Stopped,Status,BestLapTime_Value,LastLapTime_Value,LastLapTime_Status,LastLapTime_OverallFastest,LastLapTime_PersonalFastest,NumberOfLaps,BestLapTime_Lap,NumberOfPitStops
3442,9574,00:57:32.620,1,+5.002,+0.194,,,,,,,,,,,,,,,,,,
3449,9574,00:57:32.982,1,,,,,,,,,,,,,,,,,,,,
3462,9574,00:57:33.901,1,,,,,,,,,,,,,,,,,,,,
3493,9574,00:57:35.894,1,+4.852,+0.098,,,,,,,,,,,,,,,,,,
3495,9574,00:57:35.923,1,,,,,,,,,,,,,,,,,,,,
3507,9574,00:57:36.826,1,,,,,,,,,,,,,,,,,,,,
3527,9574,00:57:38.791,1,,,,8.0,8,,,,,,,,,,,,,,,
3530,9574,00:57:38.929,1,,,,,,,,,,,,,,,,,,,,
3583,9574,00:57:42.810,1,+4.297,+1.649,,,,,,,,,,,,,,,,,,
3591,9574,00:57:43.268,1,,,,,,,,,,,,,,,,,,,,
3627,9574,00:57:46.164,1,+4.191,+1.435,,,,,,,,,,,,,,,,,,
3648,9574,00:57:47.821,1,,,,,,,,,,,,,,,,,,,,
3684,9574,00:57:50.676,1,+4.129,+0.852,,,,,,,,,,,,,,,,,,
3687,9574,00:57:50.774,1,,,,,,,,,,,,,,,,,,,,
3719,9574,00:57:54.007,1,,,,,,,,,,,,,,,,,,,,
3721,9574,00:57:54.045,1,+4.174,+0.628,,,,,,,,,,,,,,,,,,
3757,9574,00:57:58.049,1,,,,,,,,,,,,,,,,,,,,
3758,9574,00:57:58.058,1,+4.273,+0.469,,,,,,,,,,,,,,,,,,
3795,9574,00:58:02.434,1,+4.343,+0.401,,,,,,,,,,,,,,,,,,
3796,9574,00:58:02.457,1,,,,,,,,,,,,,,,,,,,,
3828,9574,00:58:06.507,1,+4.549,+0.411,,,,,,,,,,,,,,,,,,
3866,9574,00:58:10.877,1,+4.558,+0.439,,,,,,,,,,,,,,,,,,
3867,9574,00:58:10.893,1,,,,,,,,,,,,,,,,,,,,
3900,9574,00:58:14.915,1,+4.693,+0.553,,,,,,,,,,,,,,,,,,
3901,9574,00:58:14.965,1,,,,,,,,,,,,,,,,,,,,
3934,9574,00:58:18.704,1,+4.687,+0.621,,,,,,,,,,,,,,,,,,
3935,9574,00:58:18.716,1,,,,,,,,,,,,,,,,,,,,
3972,9574,00:58:23.456,1,+4.860,+0.636,,,,,,,,,,,,,,,,,,
3973,9574,00:58:23.462,1,,,,,,,,,,,,,,,,,,,,
4006,9574,00:58:27.848,1,,,,,,,,,,,,,,,,,,,,
4008,9574,00:58:27.923,1,+4.972,+0.668,,,,,,,,,,,,,,,,,,
4046,9574,00:58:32.082,1,+5.171,+0.711,,,,,,,,,,,,,,,,,,
4047,9574,00:58:32.561,1,,,,,,,,,,,,,,,,,,,,
4050,9574,00:58:32.689,1,,,,,,,,,,,,,,,,,,,,
4059,9574,00:58:32.930,1,,,,,,,,,,,,,,,,,,,,
4118,9574,00:58:37.979,1,+5.223,+0.775,,,,,,,,,,,,,,,,,,
4121,9574,00:58:38.059,1,,,,,,,,,,,,,,,,,,,,
4145,9574,00:58:40.448,1,+5.201,+0.787,,,,,,,,,,,,,,,,,,
4146,9574,00:58:40.491,1,,,,,,,,,,,,,,,,,,,,
4180,9574,00:58:43.512,1,+5.146,+0.802,,,,,,,,,,,,,,,,,,
4181,9574,00:58:43.528,1,,,,,,,,,,,,,,,,,,,,
4223,9574,00:58:47.392,1,+5.046,+0.816,,,,,,,,,,,,,,,,,,
4224,9574,00:58:47.473,1,,,,,,,,,,,,,,,,,,,,
4256,9574,00:58:51.238,1,,,,,,,,,,,,,,,,,,,,
4257,9574,00:58:51.241,1,+4.911,+0.860,,,,,,,,,,,,,,,,,,
4303,9574,00:58:57.276,1,+5.035,+0.796,,,,,,,,,,,,,,,,,,
4305,9574,00:58:57.368,1,,,,,,,,,,,,,,,,,,,,
4347,9574,00:59:02.040,1,+4.859,+0.780,,,,,,,,,,,,,,,,,,
4352,9574,00:59:02.231,1,,,,,,,,,,,,,,,,,,,,
4354,9574,00:59:02.276,1,,,,,,,,,,,,,1:49.828,1:49.828,,True,True,2.0,2.0,
4356,9574,00:59:02.409,1,,,,,,,,,,,,,,,,,,,,
4393,9574,00:59:06.423,1,,,,,,,,,,,,,,,,,,,,
4444,9574,00:59:12.573,1,,,,,,,,,,,,,,,,,,,,
4475,9574,00:59:16.719,1,,,,,,,,,,,,,,,,,,,,
4476,9574,00:59:16.759,1,+4.586,+0.722,,,,,,,,,,,,,,,,,,
4508,9574,00:59:19.994,1,,,,,,,,,,,,,,,,,,,,
4509,9574,00:59:20.059,1,+4.532,+0.743,,,,,,,,,,,,,,,,,,
4535,9574,00:59:22.406,1,+4.523,+0.797,,,,,,,,,,,,,,,,,,
4540,9574,00:59:22.755,1,,,,,,,,,,,,,,,,,,,,
4576,9574,00:59:25.819,1,+4.480,+0.845,,,,,,,,,,,,,,,,,,
4607,9574,00:59:28.809,1,+4.361,+0.852,,,,,,,,,,,,,,,,,,
4609,9574,00:59:28.856,1,,,,,,,,,,,,,,,,,,,,
4657,9574,00:59:32.739,1,+4.223,+0.748,,,,,,,,,,,,,,,,,,
4667,9574,00:59:33.064,1,,,,,,,,,,,,,,,,,,,,
4701,9574,00:59:36.359,1,+4.361,+0.664,,,,,,,,,,,,,,,,,,
4702,9574,00:59:36.372,1,,,,,,,,,,,,,,,,,,,,
4724,9574,00:59:37.972,1,,,,,,,,,,,,,,,,,,,,
4759,9574,00:59:40.752,1,,,,,,,,,,,,,,,,,,,,
4760,9574,00:59:40.784,1,+4.345,+0.588,,,,,,,,,,,,,,,,,,
4793,9574,00:59:44.124,1,+4.311,+0.505,,,,,,,,,,,,,,,,,,
4794,9574,00:59:44.150,1,,,,,,,,,,,,,,,,,,,,
4822,9574,00:59:48.079,1,+4.290,+0.360,,,,,,,,,,,,,,,,,,
4823,9574,00:59:48.122,1,,,,,,,,,,,,,,,,,,,,
4865,9574,00:59:52.306,1,,,,,,,,,,,,,,,,,,,,
4866,9574,00:59:52.346,1,+4.321,+0.212,,,,,,,,,,,,,,,,,,
